term,tau,estimate,std.error,p.value,cohort_id,week,condition,module,indicator,lo,hi
z_cum_div,0.75,2.7344366679178993,1.2640392048657285,0.031750996549712696,STAT0004_2223,6,in_person,STAT0004,Diversity,0.25691982638107147,5.211953509454727
z_cum_freq,0.9,-0.15445096178524534,2.268161620212331,0.9457803312533879,STAT0004_2223,6,in_person,STAT0004,Frequency,-4.600047737401414,4.291145813830924
z_cum_imm,0.9,0.39990065063378877,2.322472317317489,0.8634705627035166,STAT0004_2223,6,in_person,STAT0004,Immediacy,-4.1521450913084905,4.951946392576067
z_cum_div,0.9,1.0020385550699542,2.0330444210223324,0.6226605751192491,STAT0004_2223,6,in_person,STAT0004,Diversity,-2.9827285101338172,4.986805620273726
z_cum_freq,0.1,1.0346474924027633,2.24313805007664,0.6451386226485014,STAT0004_2223,11,in_person,STAT0004,Frequency,-3.361903085747451,5.431198070552978
z_cum_imm,0.1,5.552680668962997,3.4017148691993744,0.10424297730401944,STAT0004_2223,11,in_person,STAT0004,Immediacy,-1.114680474667777,12.22004181259377
z_cum_div,0.1,-1.4487515490391187,2.815382910144144,0.6074323816910869,STAT0004_2223,11,in_person,STAT0004,Diversity,-6.966902052921641,4.069398954843404
z_cum_freq,0.25,-0.24067381677043898,1.491784532025846,0.8720000272580068,STAT0004_2223,11,in_person,STAT0004,Frequency,-3.164571499541097,2.683223866000219
z_cum_imm,0.25,2.4187227076658506,1.9448231507773635,0.21512867163679883,STAT0004_2223,11,in_person,STAT0004,Immediacy,-1.3931306678577817,6.230576083189483
z_cum_div,0.25,2.2935361875694777,2.2031293362334963,0.2991613370583026,STAT0004_2223,11,in_person,STAT0004,Diversity,-2.024597311448175,6.61166968658713
z_cum_freq,0.5,-1.9005780526022062,1.5695072783385882,0.227399407629441,STAT0004_2223,11,in_person,STAT0004,Frequency,-4.976812318145839,1.1756562129414265
z_cum_imm,0.5,1.0869765419554294,1.6136636901144084,0.5013665404639527,STAT0004_2223,11,in_person,STAT0004,Immediacy,-2.075804290668811,4.249757374579669
z_cum_div,0.5,2.1169119482881107,1.7721509145454148,0.23373126376489295,STAT0004_2223,11,in_person,STAT0004,Diversity,-1.3565038442209025,5.5903277407971235
z_cum_freq,0.75,-0.7499332617907686,1.587083412577133,0.6370874798054142,STAT0004_2223,11,in_person,STAT0004,Frequency,-3.860616750441949,2.3607502268604117
z_cum_imm,0.75,-1.3634720041472361,1.3456083475293454,0.31219717969183525,STAT0004_2223,11,in_person,STAT0004,Immediacy,-4.0008643653047535,1.2739203570102808
z_cum_div,0.75,3.1426762002600963,1.4202849243108855,0.02809020688406072,STAT0004_2223,11,in_person,STAT0004,Diversity,0.35891774861076087,5.926434651909432
z_cum_freq,0.9,-0.7590595922237108,2.2383150677272736,0.7348872948082408,STAT0004_2223,11,in_person,STAT0004,Frequency,-5.146157124969167,3.6280379405217458
z_cum_imm,0.9,-4.054577801047478,2.434798464011843,0.09748287001216727,STAT0004_2223,11,in_person,STAT0004,Immediacy,-8.826782790510691,0.7176271884157339
z_cum_div,0.9,6.322250952653896,2.340527340727075,0.007523591305840238,STAT0004_2223,11,in_person,STAT0004,Diversity,1.734817364828829,10.909684540478963
