term,tau,estimate,std.error,p.value,cohort_id,week,predictor,condition,module,indicator,lo,hi
z_cum_freq,0.75,1.8559238486629401,0.7851719608204655,0.0192220058642969,STAT0004_2122,6,z_cum_freq,hybrid,STAT0004,Frequency,0.31698680545482794,3.394860891871052
z_cum_freq,0.9,1.2478171561151403,1.3065175057648544,0.3408978465993884,STAT0004_2122,6,z_cum_freq,hybrid,STAT0004,Frequency,-1.312957155183974,3.8085914674142547
z_cum_imm,0.1,0.3517395933763698,1.9190764602931694,0.8547921394981126,STAT0004_2122,6,z_cum_imm,hybrid,STAT0004,Immediacy,-3.4096502687982424,4.113129455550982
z_cum_imm,0.25,1.5518568127603294,1.0238514245329027,0.1314511352266583,STAT0004_2122,6,z_cum_imm,hybrid,STAT0004,Immediacy,-0.4548919793241597,3.5586056048448187
z_cum_imm,0.5,2.0060142083027213,0.8464055541182585,0.018907018401156384,STAT0004_2122,6,z_cum_imm,hybrid,STAT0004,Immediacy,0.3470593222309346,3.664969094374508
z_cum_imm,0.75,1.186480271910786,0.6011138044529517,0.05002452087118314,STAT0004_2122,6,z_cum_imm,hybrid,STAT0004,Immediacy,0.00829721518300075,2.3646633286385716
z_cum_imm,0.9,0.742052572732041,0.9208135685395995,0.421445781980454,STAT0004_2122,6,z_cum_imm,hybrid,STAT0004,Immediacy,-1.0627420216055738,2.546847167069656
z_cum_div,0.1,3.057262477512008,1.5586694908938716,0.05145899905267726,STAT0004_2122,6,z_cum_div,hybrid,STAT0004,Diversity,0.002270275360019447,6.112254679663996
z_cum_div,0.25,3.5925788259664118,0.753390316735403,3.969374049894725e-6,STAT0004_2122,6,z_cum_div,hybrid,STAT0004,Diversity,2.115933805165022,5.069223846767802
z_cum_div,0.5,2.506888378593513,0.5272580484480783,4.219388006765357e-6,STAT0004_2122,6,z_cum_div,hybrid,STAT0004,Diversity,1.4734626036352796,3.5403141535517464
z_cum_div,0.75,1.5290028916937757,0.508209568818125,0.003023597336171191,STAT0004_2122,6,z_cum_div,hybrid,STAT0004,Diversity,0.5329121368102507,2.5250936465773006
z_cum_div,0.9,0.6519026285083503,1.0519822218943347,0.5362917298856111,STAT0004_2122,6,z_cum_div,hybrid,STAT0004,Diversity,-1.4099825264045456,2.7137877834212465
z_cum_freq,0.1,2.19686066034113,1.508546079064833,0.14716051698644117,STAT0004_2122,11,z_cum_freq,hybrid,STAT0004,Frequency,-0.759889654625943,5.153610975308203
z_cum_freq,0.25,2.4347235830149647,1.0377697648513156,0.020123571881906388,STAT0004_2122,11,z_cum_freq,hybrid,STAT0004,Frequency,0.4006948439063862,4.468752322123543
z_cum_freq,0.5,2.8361464021602547,0.8101728911333635,5.927618907222154e-4,STAT0004_2122,11,z_cum_freq,hybrid,STAT0004,Frequency,1.2482075355388622,4.424085268781647
z_cum_freq,0.75,2.0139740866814884,0.6656833731307632,0.002868612570912976,STAT0004_2122,11,z_cum_freq,hybrid,STAT0004,Frequency,0.7092346753451926,3.318713498017784
z_cum_freq,0.9,1.5637014551469564,1.2058432029672008,0.19646764248415827,STAT0004_2122,11,z_cum_freq,hybrid,STAT0004,Frequency,-0.7997512226687571,3.92715413296267
z_cum_imm,0.1,2.0074130001259274,1.8900609302585796,0.289701725766377,STAT0004_2122,11,z_cum_imm,hybrid,STAT0004,Immediacy,-1.6971064231808883,5.711932423432743
z_cum_imm,0.25,2.668734199740011,1.0272979442955466,0.010204871384265957,STAT0004_2122,11,z_cum_imm,hybrid,STAT0004,Immediacy,0.6552302289207397,4.682238170559282
z_cum_imm,0.5,2.4462466297682646,0.6296186892361765,1.4622177839007655e-4,STAT0004_2122,11,z_cum_imm,hybrid,STAT0004,Immediacy,1.2121939988653587,3.6802992606711706
z_cum_imm,0.75,1.4773028104872639,0.6660952822994227,0.027889988434518287,STAT0004_2122,11,z_cum_imm,hybrid,STAT0004,Immediacy,0.17175605718039533,2.7828495637941324
z_cum_imm,0.9,1.5248605920475504,0.940448403944144,0.10678113154092506,STAT0004_2122,11,z_cum_imm,hybrid,STAT0004,Immediacy,-0.31841827968297176,3.3681394637780726
z_cum_div,0.1,3.4259450662816997,1.6615929282059452,0.04074452892599645,STAT0004_2122,11,z_cum_div,hybrid,STAT0004,Diversity,0.1692229269980472,6.682667205565352
z_cum_div,0.25,3.020885481634565,0.7729306153973882,1.339892973724055e-4,STAT0004_2122,11,z_cum_div,hybrid,STAT0004,Diversity,1.5059414754556841,4.535829487813446
z_cum_div,0.5,2.7117282384100836,0.567688287668604,3.828694091545515e-6,STAT0004_2122,11,z_cum_div,hybrid,STAT0004,Diversity,1.5990591945796198,3.8243972822405476
z_cum_div,0.75,1.2844276991875987,0.6221777015702774,0.04049807807638617,STAT0004_2122,11,z_cum_div,hybrid,STAT0004,Diversity,0.0649594041098549,2.5038959942653425
z_cum_div,0.9,0.7339792957997334,1.0259506436157928,0.47533477762803056,STAT0004_2122,11,z_cum_div,hybrid,STAT0004,Diversity,-1.2768839656872206,2.7448425572866872
z_cum_freq,0.1,4.072568738751822,0.7260647238097963,6.895510029636398e-8,STAT0004_2223,6,z_cum_freq,in_person,STAT0004,Frequency,2.6494818800846214,5.495655597419022
z_cum_freq,0.25,2.0683734862057275,0.9775905174568086,0.03563195274894149,STAT0004_2223,6,z_cum_freq,in_person,STAT0004,Frequency,0.15229607199038275,3.984450900421072
z_cum_freq,0.5,0.545037207446026,0.9548616330421212,0.5687908646712869,STAT0004_2223,6,z_cum_freq,in_person,STAT0004,Frequency,-1.3264915933165318,2.4165660082085836
z_cum_freq,0.75,1.0540088582167004,0.8802447064507948,0.23260251912569907,STAT0004_2223,6,z_cum_freq,in_person,STAT0004,Frequency,-0.6712707664268573,2.779288482860258
z_cum_freq,0.9,1.4132713447486585,1.5106252028390363,0.35066003841612625,STAT0004_2223,6,z_cum_freq,in_person,STAT0004,Frequency,-1.547554052815853,4.37409674231317
z_cum_imm,0.1,3.4814304821813353,1.7748899425500582,0.05124518119229693,STAT0004_2223,6,z_cum_imm,in_person,STAT0004,Immediacy,0.0026461947832214783,6.96021476957945
z_cum_imm,0.25,2.5921588429348432,1.2756941795498977,0.043514266103000576,STAT0004_2223,6,z_cum_imm,in_person,STAT0004,Immediacy,0.09179825101704386,5.092519434852642
z_cum_imm,0.5,0.5283320290230865,0.8371527708211004,0.5287103355514844,STAT0004_2223,6,z_cum_imm,in_person,STAT0004,Immediacy,-1.1124874017862703,2.169151459832443
